from,to,d,EF
Other agriculture,Greenhouses,0,0.65846186291667053
Other agriculture,Greenhouses,1,0.38960524543524927
Other agriculture,Greenhouses,2,0.26402719184836881
Other agriculture,Greenhouses,3,0.19928048114900956
Other agriculture,Greenhouses,4,0.14697122998488621
Other agriculture,Greenhouses,5,0.076100617166590723
Other agriculture,Greenhouses,6,0.059518098403382902
Other agriculture,Greenhouses,7,0.063852483789909084
Other agriculture,Greenhouses,8,0.062953584216524125
Other agriculture,Housing low density,0,0.53570560817515378
Other agriculture,Housing low density,1,0.28096332593345258
Other agriculture,Housing low density,2,0.17629185792791705
Other agriculture,Housing low density,3,0.12909735094713887
Other agriculture,Housing low density,4,0.087791810649975849
Other agriculture,Housing low density,5,0.060986321475432287
Other agriculture,Housing low density,6,0.035378738944858955
Other agriculture,Housing low density,7,0.01396923209105728
Other agriculture,Housing low density,8,0.015583617376546665
Other agriculture,Housing high density,0,0.36656162483032861
Other agriculture,Housing high density,1,0.16711152030788903
Other agriculture,Housing high density,2,-0.0043595411110469197
Other agriculture,Housing high density,3,-0.018117796775847541
Other agriculture,Housing high density,4,-0.060278435640167667
Other agriculture,Housing high density,5,-0.060562223947723773
Other agriculture,Housing high density,6,-0.0089841267858897459
Other agriculture,Housing high density,7,-0.0096531535660668508
Other agriculture,Housing high density,8,-0.020347284823548785
Other agriculture,Industry,0,0.4524108211347817
Other agriculture,Industry,1,0.19540131862993904
Other agriculture,Industry,2,0.093851292660902516
Other agriculture,Industry,3,0.054776173918262276
Other agriculture,Industry,4,0.035550751832813247
Other agriculture,Industry,5,0.024438994323360861
Other agriculture,Industry,6,0.01673431303821566
Other agriculture,Industry,7,0.017048065198338895
Other agriculture,Industry,8,0.017745696453722756
Other agriculture,Services,0,0.039621691423825045
Other agriculture,Services,1,0.072710213793470868
Other agriculture,Services,2,-0.056427479911095209
Other agriculture,Services,3,0.042327584799749997
Other agriculture,Services,4,-0.022789645173801696
Other agriculture,Services,5,-0.067908684207198658
Other agriculture,Services,6,-0.040536901999553024
Other agriculture,Services,7,0.023178819400647588
Other agriculture,Services,8,-0.028617771083829281
Other agriculture,Socio cultural uses,0,-0.05728832158423134
Other agriculture,Socio cultural uses,1,-0.17737136394539893
Other agriculture,Socio cultural uses,2,-0.097983593739140201
Other agriculture,Socio cultural uses,3,-0.093517076537022431
Other agriculture,Socio cultural uses,4,-0.041807217322636814
Other agriculture,Socio cultural uses,5,-0.032972942959017745
Other agriculture,Socio cultural uses,6,-0.092495291738497742
Other agriculture,Socio cultural uses,7,-0.066401451010176069
Other agriculture,Socio cultural uses,8,-0.071934660462800323
Other agriculture,Forest,0,0.41933687998966357
Other agriculture,Forest,1,0.14047986327687381
Other agriculture,Forest,2,0.065780921712937646
Other agriculture,Forest,3,0.035026502187208451
Other agriculture,Forest,4,0.016000568699837316
Other agriculture,Forest,5,-0.0053252107846339641
Other agriculture,Forest,6,0.0035592203761750252
Other agriculture,Forest,7,-0.016737179047362733
Other agriculture,Forest,8,-0.0254278264664058
Other agriculture,Extensive grasslands,0,0.4255100660271216
Other agriculture,Extensive grasslands,1,0.16575879737799232
Other agriculture,Extensive grasslands,2,0.12258925085236126
Other agriculture,Extensive grasslands,3,0.072210276709349208
Other agriculture,Extensive grasslands,4,0.024750606963356549
Other agriculture,Extensive grasslands,5,0.0065844182350375344
Other agriculture,Extensive grasslands,6,0.0255480521453978
Other agriculture,Extensive grasslands,7,0.037082019278541635
Other agriculture,Extensive grasslands,8,0.031093255242327918
Other agriculture,Nature,0,0.24744641876418602
Other agriculture,Nature,1,0.12394920914337587
Other agriculture,Nature,2,0.061855027294727458
Other agriculture,Nature,3,0.030077578934608901
Other agriculture,Nature,4,0.0073882744720596468
Other agriculture,Nature,5,-0.013582286117782704
Other agriculture,Nature,6,-0.02473153353979686
Other agriculture,Nature,7,-0.0077462694500831679
Other agriculture,Nature,8,0.00043963899456856385
Other agriculture,Recreation areas,0,0.25981404229918026
Other agriculture,Recreation areas,1,0.035425988391884274
Other agriculture,Recreation areas,2,-0.014927521392143324
Other agriculture,Recreation areas,3,-0.023253635801835669
Other agriculture,Recreation areas,4,-0.0011397312900185452
Other agriculture,Recreation areas,5,-0.033642794556028199
Other agriculture,Recreation areas,6,-0.024534829881171442
Other agriculture,Recreation areas,7,-0.035275523656727856
Other agriculture,Recreation areas,8,-0.015877707439349305
Pastures,Greenhouses,0,-0.2073160083132074
Pastures,Greenhouses,1,-0.15702137020745902
Pastures,Greenhouses,2,-0.11744091722336729
Pastures,Greenhouses,3,-0.13303418791476498
Pastures,Greenhouses,4,-0.13937872133935328
Pastures,Greenhouses,5,-0.13551108665597791
Pastures,Greenhouses,6,-0.12173908765335764
Pastures,Greenhouses,7,-0.11705987144976666
Pastures,Greenhouses,8,-0.1127734454095074
Pastures,Housing low density,0,-0.27367385743285971
Pastures,Housing low density,1,-0.22656971623691266
Pastures,Housing low density,2,-0.14973684661494061
Pastures,Housing low density,3,-0.10449027327527614
Pastures,Housing low density,4,-0.065098848736855411
Pastures,Housing low density,5,-0.033026150050392493
Pastures,Housing low density,6,-0.015501353288101477
Pastures,Housing low density,7,-0.003953976281693884
Pastures,Housing low density,8,-0.0010997897995573636
Pastures,Housing high density,0,-0.94542361450502543
Pastures,Housing high density,1,-0.67242234244128785
